model,rcp,mgm,windcase,dist,refdif,diff,percdiff
HadGEM2_CCLM,rcp85,BIOECONOMY,w6,0.389332854998691,0.342609907940998,0.0467229470576929,13.6373601506408
HadGEM2_CCLM,rcp85,BIOECONOMY,w7,0.378747623214889,0.338834878404083,0.039912744810806,11.7794086012619
HadGEM2_CCLM,rcp85,BIOECONOMY,w8,0.371922818000993,0.332914280646517,0.0390085373544758,11.7172916940426
HadGEM2_CCLM,rcp85,BIOECONOMY,w9,0.381822803535833,0.344947344276024,0.0368754592598092,10.6901705062271
HadGEM2_CCLM,rcp85,CONSERVATION,w5,0.38872918568173,0.342768312834943,0.0459608728467873,13.4087286151563
HadGEM2_CCLM,rcp85,CONSERVATION,w6,0.400988568584247,0.350712183139908,0.0502763854443385,14.3355115280617
HadGEM2_CCLM,rcp85,CONSERVATION,w7,0.401966300562908,0.358269367419116,0.0436969331437919,12.1966701922003
HadGEM2_CCLM,rcp85,CONSERVATION,w8,0.382148561168363,0.338832201214724,0.0433163599536388,12.7840151550969
HadGEM2_CCLM,rcp85,CONSERVATION,w9,0.393827918918273,0.353756390378766,0.0400715285395071,11.3274359500906
HadGEM2_CCLM,rcp85,UNMANAGED,w5,0.391479365592235,0.305519662987457,0.0859597026047779,28.1355712965377
HadGEM2_CCLM,rcp85,UNMANAGED,w6,0.404889607558901,0.320753068003792,0.0841365395551091,26.2309383597586
HadGEM2_CCLM,rcp85,UNMANAGED,w7,0.397795565242956,0.315970165293104,0.0818253999498515,25.8965588962957
HadGEM2_CCLM,rcp85,UNMANAGED,w8,0.372598864067786,0.292362997595835,0.0802358664719511,27.4439197613064
HadGEM2_CCLM,rcp85,UNMANAGED,w9,0.38974584003868,0.330357743376878,0.0593880966618017,17.9769046896687
MPI_CCLM,rcp45,ADAPTATION,w5,0.353164460951684,0.341597560008763,0.0115669009429208,3.38611931028549
MPI_CCLM,rcp45,ADAPTATION,w6,0.358574766187074,0.346114890733238,0.0124598754538359,3.59992470345321
MPI_CCLM,rcp45,ADAPTATION,w7,0.35826121850218,0.345481173237712,0.012780045264468,3.69920165104757
MPI_CCLM,rcp45,ADAPTATION,w8,0.35196167688426,0.338632422550302,0.0133292543339578,3.93620145217422
MPI_CCLM,rcp45,ADAPTATION,w9,0.358326383635347,0.349167821807874,0.00915856182747388,2.62296845684517
MPI_CCLM,rcp45,BAU,w5,0.355896271196533,0.33147398649621,0.0244222847003231,7.36778320328385
MPI_CCLM,rcp45,BAU,w6,0.365089919299235,0.343124201434782,0.0219657178644534,6.40168130741091
MPI_CCLM,rcp45,BAU,w7,0.362480730540506,0.339170509548712,0.0233102209917945,6.87271455965033
MPI_CCLM,rcp45,BAU,w8,0.355478179188761,0.328691295490995,0.0267868836977662,8.14955676199222
MPI_CCLM,rcp45,BAU,w9,0.36565673515644,0.346013322393335,0.0196434127631053,5.67706833576062
MPI_CCLM,rcp45,BIOECONOMY,w5,0.352814509711089,0.33361966363853,0.0191948460725597,5.75351160756428
MPI_CCLM,rcp45,BIOECONOMY,w6,0.361645544812648,0.342609907940998,0.0190356368716495,5.55606724453739
MPI_CCLM,rcp45,BIOECONOMY,w7,0.356899142820115,0.338834878404083,0.0180642644160319,5.33128835529414
MPI_CCLM,rcp45,BIOECONOMY,w8,0.351226257452171,0.332914280646517,0.0183119768056543,5.50050804972758
MPI_CCLM,rcp45,BIOECONOMY,w9,0.36175569846134,0.344947344276024,0.0168083541853152,4.87273042225984
MPI_CCLM,rcp45,CONSERVATION,w5,0.356150885278726,0.342768312834943,0.0133825724437833,3.90426184179619
MPI_CCLM,rcp45,CONSERVATION,w6,0.364154913834128,0.350712183139908,0.0134427306942199,3.83298081460067
MPI_CCLM,rcp45,CONSERVATION,w7,0.370764968071941,0.358269367419116,0.0124956006528244,3.48776696786544
MPI_CCLM,rcp45,CONSERVATION,w8,0.35049806032224,0.338832201214724,0.0116658591075163,3.44296057626574
MPI_CCLM,rcp45,CONSERVATION,w9,0.362081561270622,0.353756390378766,0.00832517089185542,2.35336268637909
MPI_CCLM,rcp45,UNMANAGED,w5,0.327649824738846,0.305519662987457,0.0221301617513883,7.2434492546219
MPI_CCLM,rcp45,UNMANAGED,w6,0.352565263928027,0.320753068003792,0.0318121959242351,9.91797089337864
MPI_CCLM,rcp45,UNMANAGED,w7,0.354895430810634,0.315970165293104,0.0389252655175296,12.3192851076371
MPI_CCLM,rcp45,UNMANAGED,w8,0.317847608521934,0.292362997595835,0.0254846109260988,8.7167702943479
MPI_CCLM,rcp45,UNMANAGED,w9,0.343473987229548,0.330357743376878,0.0131162438526693,3.97031524631346
MPI_CCLM,rcp85,ADAPTATION,w5,0.377973345560193,0.341597560008763,0.0363757855514299,10.6487252281593
MPI_CCLM,rcp85,ADAPTATION,w6,0.386424912412896,0.346114890733238,0.040310021679658,11.6464280384649
MPI_CCLM,rcp85,ADAPTATION,w7,0.388331336541529,0.345481173237712,0.0428501633038174,12.403038609092
MPI_CCLM,rcp85,ADAPTATION,w8,0.3788396725616,0.338632422550302,0.0402072500112976,11.873420066658
MPI_CCLM,rcp85,ADAPTATION,w9,0.387908781948597,0.349167821807874,0.0387409601407236,11.0952263413438
MPI_CCLM,rcp85,BAU,w5,0.382120498687373,0.33147398649621,0.050646512191163,15.2791815510211
MPI_CCLM,rcp85,BAU,w6,0.397515966935501,0.343124201434782,0.0543917655007194,15.8519175485958
