"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate"
"104",30,14,8,0,3.66700011467103e-08,5.85067133918287,1.66264375356384e-06,0,"ADAPTATION","rcp85"
"105",31,6,5,0,5.34572386357013e-13,10.7050113276759,7.05843161696862e-11,0,"ADAPTATION","rcp85"
"106",32,1,1,0,2.22044604925031e-16,15.3180046671087,4.86277684785819e-14,0,"ADAPTATION","rcp85"
"107",15,100,3,0,0.990769750018145,0.00600445548208443,0.99875732512243,0.975495281688763,"BAU","rcp85"
"108",16,97,6,0,0.970971306768916,0.0130380653934345,0.990559185005905,0.941114971200412,"BAU","rcp85"
"109",17,91,6,0,0.94970298693574,0.0200266436888044,0.980274473148961,0.906080890686189,"BAU","rcp85"
"110",20,85,1,0,0.946026648077502,0.0212231021852123,0.978433075901725,0.900127459204405,"BAU","rcp85"
"111",21,84,2,0,0.938385592320832,0.0237122759920266,0.974567743811467,0.887821843609459,"BAU","rcp85"
"112",22,82,1,0,0.934409636821822,0.0250085388789505,0.972536570312534,0.881456482299676,"BAU","rcp85"
"113",23,81,9,0,0.894932689094487,0.0379310665305282,0.951684625129595,0.819661320138924,"BAU","rcp85"
"114",24,72,8,0,0.852823881927581,0.0519031943853148,0.928189813500769,0.756405967549446,"BAU","rcp85"
"115",25,64,26,0,0.618431445600047,0.132681428079011,0.76990188059418,0.454098312951928,"BAU","rcp85"
"116",26,38,8,0,0.487430041415566,0.183052112997201,0.659523598317551,0.316859499212538,"BAU","rcp85"
"117",27,30,8,0,0.356902474038699,0.254202089427983,0.540410194386961,0.192882776353466,"BAU","rcp85"
"118",28,22,5,0,0.275814991087313,0.316851901316801,0.45920276151145,0.124955512538782,"BAU","rcp85"
"119",29,17,3,0,0.227472433318125,0.362405281588143,0.405069342515707,0.0898632982897003,"BAU","rcp85"
"120",30,14,8,0,0.10006521237916,0.567039273776832,0.235897664242036,0.018533726059891,"BAU","rcp85"
"121",31,6,5,0,0.022389813859103,1.09285970113588,0.0943866259217372,0,"BAU","rcp85"
"122",32,1,1,0,0.00769563484004643,1.70206905056352,0.0540930205570301,0,"BAU","rcp85"
"123",15,100,3,0,0.944451424531851,0.0345105015061043,0.990334069852518,0.864219889515272,"BIOECONOMY","rcp85"
"124",16,97,6,0,0.833972778966893,0.0684645425507381,0.929212435951969,0.708752865200363,"BIOECONOMY","rcp85"
"125",17,91,6,0,0.727564717805819,0.0996134375335811,0.855730808920301,0.57642878970821,"BIOECONOMY","rcp85"
"126",20,85,1,0,0.710379325160137,0.104854226284644,0.8430590485814,0.556093347206983,"BIOECONOMY","rcp85"
"127",21,84,2,0,0.675746294475715,0.115632570109728,0.816854340304113,0.515993179809574,"BIOECONOMY","rcp85"
"128",22,82,1,0,0.658292334807853,0.121176761090566,0.803298871376575,0.496239799357149,"BIOECONOMY","rcp85"
"129",23,81,9,0,0.504521581302702,0.17658391319065,0.675334559687543,0.333162687872083,"BIOECONOMY","rcp85"
"130",24,72,8,0,0.374869416538231,0.23960193384222,0.555240955473567,0.210864463198793,"BIOECONOMY","rcp85"
"131",25,64,26,0,0.0517262789953931,0.756112513576571,0.153444796658496,0.00317570886572383,"BIOECONOMY","rcp85"
"132",26,38,8,0,0.0119282171271294,1.27021098279342,0.0594013015227984,0,"BIOECONOMY","rcp85"
"133",27,30,8,0,0.00174712065280735,1.94389932770729,0.0146912220524322,0,"BIOECONOMY","rcp85"
"134",28,22,5,0,0.000356843565759379,2.50735755236866,0.0042601567111461,0,"BIOECONOMY","rcp85"
"135",29,17,3,0,0.000108816436002357,2.93284280507547,0.00163247388294929,0,"BIOECONOMY","rcp85"
"136",30,14,8,0,6.89692395305919e-07,4.81368677757479,2.25443856655128e-05,0,"BIOECONOMY","rcp85"
"137",31,6,5,0,6.77974343332721e-11,8.81999446588115,6.30488394826045e-09,0,"BIOECONOMY","rcp85"
"138",32,1,1,0,9.39248678832882e-14,12.6353596882689,1.68192126892563e-11,0,"BIOECONOMY","rcp85"
"139",15,100,3,0,0.990822541662705,0.00598861793427238,0.99877780482532,0.975575911079751,"CONSERVATION","rcp85"
"140",16,97,6,0,0.971135670912601,0.0130488333038558,0.990707097606436,0.941215030064824,"CONSERVATION","rcp85"
"141",17,91,6,0,0.949984635564599,0.0200903517732157,0.98059847817009,0.906151263323639,"CONSERVATION","rcp85"
"142",20,85,1,0,0.946328295725417,0.0212991621143155,0.978791744139312,0.90018567705285,"CONSERVATION","rcp85"
"143",21,84,2,0,0.938728545202857,0.0238148761553525,0.974999729836112,0.887853684377818,"CONSERVATION","rcp85"
"144",22,82,1,0,0.934773942049753,0.0251253866649076,0.973007319347915,0.881474060378826,"CONSERVATION","rcp85"
"145",23,81,9,0,0.895503685925594,0.0382044744582389,0.952558815241182,0.819520679474666,"CONSERVATION","rcp85"
"146",24,72,8,0,0.853604363178124,0.0523725601859962,0.929524224282069,0.756070993682259,"CONSERVATION","rcp85"
"147",25,64,26,0,0.620141470145284,0.134695533516246,0.774000416918711,0.45274177693607,"CONSERVATION","rcp85"
"148",26,38,8,0,0.489446813886541,0.185779357518091,0.664576786580459,0.315644034908027,"CONSERVATION","rcp85"
"149",27,30,8,0,0.359021575065727,0.25191056116436,0.541792540737234,0.195282041526593,"CONSERVATION","rcp85"
"150",28,22,5,0,0.277863819316576,0.30688001491587,0.456423500057687,0.129868958196738,"CONSERVATION","rcp85"
"151",29,17,3,0,0.229416036918638,0.351453799979915,0.402639901718886,0.0939685160228898,"CONSERVATION","rcp85"
"152",30,14,8,0,0.10139752598785,0.563010699762583,0.237815012976228,0.0191240981044782,"CONSERVATION","rcp85"
"153",31,6,5,0,0.0228839435939245,1.0859214958017,0.0958185827052741,0,"CONSERVATION","rcp85"
"154",32,1,1,0,0.00791388625822198,1.69122503240739,0.0551728389678406,0,"CONSERVATION","rcp85"
"155",15,100,3,0,0.99135451589455,0.00567103548042477,0.998871184121278,0.976885319222205,"UNMANAGED","rcp85"
"156",16,97,6,0,0.972793010218568,0.0124381343316112,0.991409751933822,0.944147479703091,"UNMANAGED","rcp85"
"157",17,91,6,0,0.952826596533163,0.019226326883393,0.98208206145505,0.910614290349151,"UNMANAGED","rcp85"
"158",20,85,1,0,0.949372431545436,0.0203923103683344,0.980414139181474,0.904903055204741,"UNMANAGED","rcp85"
"159",21,84,2,0,0.942190414355911,0.0228196920503771,0.97691324789455,0.893090072249322,"UNMANAGED","rcp85"
"160",22,82,1,0,0.938451845260463,0.0240846006848166,0.975073638558637,0.886975349405421,"UNMANAGED","rcp85"
"161",23,81,9,0,0.901276206360265,0.0367230012385427,0.95618442888158,0.82746459429582,"UNMANAGED","rcp85"
