"time","Management","Climate","Model","Windcase","surv","lower","upper"
15,"BAU","rcp45","HadGEM2_CCLM","w9",0.998464003210134,0.996385466345534,1
15,"BAU","rcp85","HadGEM2_CCLM","w9",0.990931492643516,0.979442951007002,1
15,"BAU","rcp45","MPI_CCLM","w5",0.996589727512371,0.992052119846432,1
15,"BAU","rcp85","MPI_CCLM","w5",0.979958493783005,0.954769270241836,1
15,"BAU","rcp85","MPI_CCLM","w6",0.997673361208924,0.994555040047478,1
15,"BAU","rcp45","MPI_CCLM","w7",0.986290268981979,0.968993994133268,1
15,"BAU","rcp85","MPI_CCLM","w7",0.998226100980484,0.99583071946922,1
15,"BAU","rcp45","MPI_CCLM","w8",0.989533054431967,0.976200711076239,1
15,"BAU","rcp85","MPI_CCLM","w8",0.996045917837048,0.990818661577835,1
15,"BAU","rcp45","MPI_CCLM","w9",0.976793718092368,0.947900236115016,1
15,"BAU","rcp85","MPI_CCLM","w9",0.999766490351656,0.999424704100794,1
15,"BAU","rcp45","NCC_HIRHAM5","w5",0.998616932196678,0.996714315297538,1
15,"BAU","rcp85","NCC_HIRHAM5","w5",0.999481140879202,0.998742933957953,1
15,"BAU","rcp45","NCC_HIRHAM5","w6",0.996928978456038,0.992766073080696,1
15,"BAU","rcp45","NCC_HIRHAM5","w7",0.999646174347499,0.999138183136212,1
15,"BAU","rcp85","NCC_HIRHAM5","w7",0.997904926536517,0.995059528018313,1
15,"BAU","rcp45","NCC_HIRHAM5","w8",0.999730296063403,0.99933852576643,1
15,"BAU","rcp85","NCC_HIRHAM5","w8",0.998402697358523,0.99620711532781,1
15,"BAU","rcp45","NCC_HIRHAM5","w9",0.999398263287912,0.998547024196906,1
15,"BAU","rcp85","NCC_HIRHAM5","w9",0.99643916978792,0.991642513529683,1
15,"BAU","refclim","refclim","w5",0.998198015212012,0.995481314573752,1
15,"BAU","refclim","refclim","w6",0.995999822711779,0.990074240642647,1
15,"BAU","refclim","refclim","w7",0.997270645277531,0.993215761306928,1
15,"BAU","refclim","refclim","w8",0.997918958492171,0.994795065981434,1
15,"BIOECONOMY","rcp45","EC-EARTH_RACMO22E-r1","w5",0.995362164590505,0.988517109917273,1
15,"BIOECONOMY","rcp85","EC-EARTH_RACMO22E-r1","w5",0.99856287223551,0.99659567407751,1
15,"BIOECONOMY","rcp45","EC-EARTH_RACMO22E-r1","w6",0.990958085488327,0.979542745494743,1
15,"BIOECONOMY","rcp85","EC-EARTH_RACMO22E-r1","w6",0.996809046956711,0.992559467904365,1
15,"BIOECONOMY","rcp45","EC-EARTH_RACMO22E-r1","w7",0.980016938139421,0.955176922859243,1
15,"BIOECONOMY","rcp85","EC-EARTH_RACMO22E-r1","w7",0.997823066764342,0.99488734482218,1
